ID,Comp1_CT,Comp1_SA,Comp1_T1,Comp1_T2,Comp2_CT,Comp2_SA,Comp2_T1,Comp2_T2,Comp3_CT,Comp3_SA,Comp3_T1,Comp3_T2,Comp4_CT,Comp4_SA,Comp4_T1,Comp4_T2
ADB0202,1333.838069930068,1607.043586394822,1605.69514194199,1519.8608513068043,1419.421976409456,1345.3491410038055,1474.0223905048936,1471.0242906993287,1238.0041417414607,1329.8807788768747,1546.1818514482363,1467.3244510731927,926.4793751233086,972.2922990856819,1058.8061186770635,946.323783687147
ADB0203,1503.9205001080695,1641.6792771430478,1467.7059031029423,1528.3808886310164,1486.260359118075,1351.2207354805425,1417.25856458909,1489.620103400583,1277.066926920394,1349.0423679859027,1464.5431358024964,1459.4171636385247,1003.0644978051363,965.9853268702464,991.886764025258,916.8566025680656
ADB0207,1510.4280511432987,1656.4703575333128,1489.349384508576,1518.1975293806288,1558.8810832282927,1381.460694628733,1483.8996554836426,1477.8851517690582,1360.1781710470693,1391.265280097823,1513.1121107934573,1487.2143644740047,1039.1067440498407,1005.2649028479331,1042.3999845327837,924.1987716321026
ADB0209,1373.1992902938532,1586.5696456705289,1434.6207905492347,1521.362984439831,1327.0110090367466,1291.470333112067,1399.4692285991052,1474.4947359899336,1193.587798199254,1279.2060196840685,1466.8150506289508,1469.7599201886703,941.8616781710609,936.8603961668605,1008.6555175878766,929.1533495598601
ADB0210,1584.521139710914,1677.8969085094102,1376.686015407024,1509.5397696024309,1586.0759081908914,1401.9054413150554,1354.58702029185,1483.8523605856371,1376.9806746246788,1362.6326672814425,1426.8632233449252,1482.1661073939215,1055.9222533360212,1026.9406251403595,947.5637929059171,934.9596958164271
ADB0215,1440.7239991363565,1631.8837669283562,1462.273422952169,1505.9009671914505,1449.6721788065267,1378.792879553601,1410.6317533693782,1484.1661209094257,1288.4213079345723,1343.0593913392156,1460.9137256685879,1502.5783533918654,965.8000245866641,994.3223299910499,991.7027811407322,918.699750429413
ADB0217,1452.792462980541,1664.8665880526937,1510.303194644578,1530.1417845306541,1514.259908410517,1401.5604064833092,1486.3484998892584,1514.8658996410102,1300.1352803121695,1381.7911807053902,1540.1873543659408,1463.7239080416805,1001.3428133662082,1008.6037689364857,1034.2029971091479,869.0661106129085
ADB0219,1465.1490325964385,1560.2386427384026,1380.164773514148,1503.5226757302792,1477.8837660616457,1304.286736347338,1352.6372975092333,1497.6392183061967,1280.9901491697747,1298.4491518623392,1402.8803187382794,1504.0897226949135,994.9392091250353,945.5096150574601,947.846564830528,882.1674206020126
ADB0220,1549.1006167457826,1661.2105503365917,1437.5558438334988,1519.5607424706723,1574.312022269527,1435.2746273644325,1384.2425902956413,1495.601209789021,1357.7612823949178,1395.2939582091822,1434.943131418342,1467.2003285517917,1054.7732372663606,1064.3764013978623,977.8423037890913,918.9944574376875
ADB0221,1576.1126838956754,1874.2819587515196,1595.3259155242936,1502.4771156345519,1640.2958575083212,1509.609206192617,1537.7711836505832,1498.1850957675072,1426.051812589372,1475.938346504396,1598.0471083304265,1479.7576012708591,1102.222908712276,1130.33742878072,1096.031521410095,929.1100780425758
ADB0222,1490.9731729024352,1898.3690892721368,1440.9948899514313,1517.5032953509653,1535.0201464033041,1554.6973643117753,1417.308680209508,1480.117554469774,1306.76657844681,1537.6796775000778,1472.8042516266419,1483.304157894344,1012.7068967315105,1139.7523611580552,1003.9406741001371,916.6101659082585
ADB0223,1490.2250135581066,1732.5263392180334,1413.881365395083,1480.0871786843234,1501.659383087363,1502.1566745354714,1405.535504160582,1500.997725823584,1293.601956492846,1442.2387406053128,1462.941759922857,1484.0199002481297,993.2830071785423,1108.4624040426354,982.449085653419,929.7282504297683
ADB0225,1484.3151378681011,1577.727586623996,1456.3021973779473,1503.353704674716,1507.0603916542882,1353.2275226432243,1443.7842857958,1507.9619943692992,1316.0370756047125,1328.6253007478456,1490.7899968677461,1472.1045381406393,1007.053679017483,998.492793008283,990.1224667255382,933.0728449733728
